Price;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
41.0;1.0;2;1.0;1.0;1.0;2;20;2;1125;61;61;1;0;0;0;0;0;1
120.0;4.0;6;1.0;3.0;3.0;3;10;2;1125;37;312;0;0;0;0;0;0;1
349.0;207.0;2;1.0;0.0;1.0;1;0;3;1125;2;2;0;0;0;0;0;0;1
65.0;2.0;6;2.0;3.0;5.0;1;0;3;1125;45;208;0;0;0;0;0;0;1
27.0;1.0;1;1.0;1.0;1.0;1;0;3;5;75;75;1;0;0;0;0;0;1
108.0;1.0;6;2.0;2.0;3.0;4;15;1;1125;79;354;0;0;0;0;0;0;1
18.0;1.0;3;1.5;1.0;3.0;1;12;3;1125;73;348;1;0;0;0;0;0;1
42.0;8.0;2;1.0;1.0;1.0;1;0;2;1125;0;0;1;0;0;0;0;0;1
36.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;63;338;1;0;0;0;0;0;1
115.0;7.0;6;2.0;3.0;4.0;2;15;3;31;28;113;0;0;0;0;0;0;1
74.0;4.0;2;1.0;1.0;1.0;1;0;4;180;41;304;0;0;0;0;0;0;1
85.0;1.0;3;1.0;2.0;2.0;3;15;3;7;1;1;0;0;0;0;0;0;1
71.0;10.0;4;1.0;1.0;1.0;1;0;2;1125;70;243;0;0;0;0;0;0;1
30.0;1.0;1;1.0;1.0;1.0;1;0;2;1125;0;0;1;0;0;0;0;0;1
73.0;1.0;4;1.0;1.0;2.0;1;0;2;1125;8;251;0;0;0;0;0;0;1
95.0;1.0;4;1.5;1.0;1.0;2;15;5;1125;49;324;0;0;0;0;0;0;1
109.0;207.0;6;2.0;2.0;2.0;2;15;2;1125;8;81;0;0;0;0;0;0;1
60.0;2.0;5;1.0;3.0;3.0;3;15;1;1125;41;94;0;0;0;0;0;0;1
80.0;4.0;4;1.0;1.0;2.0;2;12;2;9999;14;88;0;0;0;0;0;0;1
120.0;1.0;6;2.0;2.0;4.0;4;10;3;1125;50;196;0;0;0;0;0;0;1
48.0;46.0;4;1.0;1.0;2.0;1;0;1;21;14;251;0;0;0;0;0;0;1
32.0;6.0;2;2.0;1.0;2.0;1;15;1;90;32;307;1;0;0;0;0;0;1
110.0;1.0;6;2.5;3.0;5.0;1;0;4;15;0;15;0;0;0;0;0;0;1
175.0;14.0;4;2.0;2.0;2.0;1;0;2;20;16;291;0;0;0;0;0;0;1
48.0;2.0;3;1.0;1.0;1.0;2;10;7;1125;33;308;0;0;0;0;0;0;1
